Tickers,Weights
AAPL,5
MSFT,5
AMZN,5
GOOGL,5
TSLA,5
NVDA,5
JPM,5
JNJ,5
V,5
PG,5
DIS,5
BAC,5
HD,5
NFLX,5
INTC,5
ADBE,5
PFE,5
CSCO,5
XOM,5
T,5
